UserID,Password,Name,Gender,Age,Role
P1,123,Anna,female,35,pharmacist
PT1,123,Mike,male,30,patient
D1,123,Dr.John,male,45,doctor
PT3,password,dallas-test,male,100,patient
D2,123,Smith,female,50,doctor
PT2,123,Jane,female,25,patient
A1,123,John,male,45,administrator
PT5,password,dallaspat,male,10,patient
A2,Ash30020191$,dallas,male,10,administrator
PT4,password,dallas,male,10,patient
A3,password,dallas-admin,female,10,administrator
PT7,Ash30020191$,Quan,male,20,patient
PT6,password,Quan,male,20,patient
